Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,12,0,11000,10550.760826833273,1278.9832369999203,15722.54609599986,158.91666666666666,0.6606572235986594,0.0,12000,12000,14000,14000,15000,16000,16000,16000,16000,16000,16000
GET,/cpu_fixed,10,0,7700,10237.824945500051,1940.268291999928,18151.673892999952,84.2,0.5505476863322162,0.0,7700,7700,18000,18000,18000,18000,18000,18000,18000,18000,18000
,Aggregated,22,0,9300,10408.517244409082,1278.9832369999203,18151.673892999952,124.95454545454545,1.2112049099308755,0.0,10000,12000,14000,15000,18000,18000,18000,18000,18000,18000,18000
