Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,3062,3062,1,2.208406093729021,0.5968959999336221,53.05759600014426,0.0,160.98817912021127,160.98817912021127,1,2,2,2,3,4,7,24,47,53,53
GET,/cpu_fixed,3093,3093,1,2.0602709508605446,0.620496000010462,48.464822999903845,0.0,162.61803984938388,162.61803984938388,1,2,2,2,3,4,6,23,29,48,48
,Aggregated,6155,6155,1,2.1339654768497036,0.5968959999336221,53.05759600014426,0.0,323.60621896959515,323.60621896959515,1,2,2,2,3,4,6,24,47,53,53
