Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,16,0,14000,14262.630381437562,9962.942812000165,18634.697350999886,80.9375,0.8564723991194738,0.0,15000,16000,17000,17000,18000,19000,19000,19000,19000,19000,19000
GET,/cpu_fixed,24,24,15000,14169.606125750024,9957.566181999937,18634.76164099984,702.0,1.2847085986792106,1.2847085986792106,15000,16000,18000,18000,18000,19000,19000,19000,19000,19000,19000
,Aggregated,40,24,15000,14206.815828025032,9957.566181999937,18634.76164099984,453.575,2.1411809977986844,1.2847085986792106,15000,16000,17000,18000,18000,19000,19000,19000,19000,19000,19000
