Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cpu,33,0,8700,8574.449328787867,572.2034600003099,14451.973619,80.87878787878788,1.7588912994448842,0.0,8700,12000,13000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/cpu_fixed,30,30,5900,6847.766710866655,1122.9956970000785,13990.441566999834,702.0,1.5989920904044401,1.5989920904044401,6500,8700,8700,9200,13000,13000,14000,14000,14000,14000,14000
,Aggregated,63,30,7600,7752.219510730145,572.2034600003099,14451.973619,376.6507936507937,3.3578833898493246,1.5989920904044401,7600,9200,12000,13000,14000,14000,14000,14000,14000,14000,14000
